id,cedulaCiudadania,nombreCompleto,email,telefono,fechaNacimiento,ciudadResidencia,ingresoMensual,tipoEmpleo,antiguedadLaboral,historialCrediticio,deudaActual,saldoCuentaAhorros,scoreCrediticio
CLT-20251210-0018,1000000017,Sofía Vega González,sofía.vega018@grupoempresa.com,+57 300 000 0017,6/18/1977,Bucaramanga,3598769,Empleado,19,Malo,2339200,1301231,419
CLT-20251210-0019,1000000018,Valentina Ospina Rodríguez,valentina.ospina019@corp.com.co,+57 300 000 0018,7/19/1978,Medellín,3722226,Independiente,11,Regular,1861113,1377774,586
CLT-20251210-0020,1000000019,Daniela Cruz Martínez,daniela.cruz020@servicios.com.co,+57 300 000 0019,8/20/1979,Medellín,3845683,Empleado,21,Bueno,884507,1454317,684
CLT-20251210-0021,1000000020,Juan Fernando González Gómez,juan.gonzález021@banco.com.co,+57 300 000 0020,9/21/1980,Bogotá,3969140,Independiente,25,Excelente,396914,1530860,808
CLT-20251210-0022,1000000021,Carlos Rodríguez López,carlos.rodríguez022@financiera.com.co,+57 300 000 0021,10/22/1981,Bogotá,4092597,Empleado,10,Bueno,1432409,1607403,709
CLT-20251210-0023,1000000022,Andrés Martínez Pérez,andrés.martínez023@grupoempresa.com,+57 300 000 0022,11/23/1982,Medellín,4216054,Independiente,22,Bueno,1011853,1683946,716
CLT-20251210-0024,1000000023,Diego Gómez Sánchez,diego.gómez024@corp.com.co,+57 300 000 0023,12/24/1983,Medellín,4339511,Empleado,7,Excelente,564136,1760489,820
CLT-20251210-0025,1000000024,Santiago López Ramírez,santiago.lópez025@servicios.com.co,+57 300 000 0024,1/25/1984,Bogotá,4462968,Empleado,18,Regular,2499262,1837032,642
CLT-20251210-0026,1000000025,David Patricia Pérez Torres,david.pérez026@banco.com.co,+57 300 000 0025,2/26/1985,Medellín,4586425,Pensionado,3,Bueno,1651113,1913575,711
CLT-20251210-0027,1000000026,Luis Sánchez Ruiz,luis.sánchez027@financiera.com.co,+57 300 000 0026,3/27/1986,Cali,4709882,Independiente,3,Excelente,565186,1990118,774
CLT-20251210-0028,1000000027,José Ramírez Castillo,josé.ramírez028@grupoempresa.com,+57 300 000 0027,4/28/1987,Bogotá,4833339,Empleado,16,Regular,2513336,2066661,550
CLT-20251210-0029,1000000028,Javier Torres Vargas,javier.torres029@corp.com.co,+57 300 000 0028,5/1/1988,Medellín,4956796,Independiente,7,Regular,2478398,2143204,579
CLT-20251210-0030,1000000029,Alejandro Ruiz Rojas,alejandro.ruiz030@servicios.com.co,+57 300 000 0029,6/2/1989,Barranquilla,5080253,Empleado,11,Bueno,1016051,2219747,731
CLT-20251210-0031,1000000030,María Fernando Castillo Mendoza,maría.castillo031@banco.com.co,+57 300 000 0030,7/3/1990,Bogotá,5203710,Empleado,10,Malo,3538523,2296290,525
CLT-20251210-0032,1000000031,Catalina Vargas Cárdenas,catalina.vargas032@financiera.com.co,+57 300 000 0031,8/4/1991,Bogotá,5327167,Empleado,0,Bueno,1065433,2372833,680
CLT-20251210-0033,1000000032,Laura Rojas Herrera,laura.rojas033@grupoempresa.com,+57 300 000 0032,9/5/1992,Montería,5450624,Empleado,8,Bueno,1744200,2449376,746
CLT-20251210-0034,1000000033,Andrea Mendoza Díaz,andrea.mendoza034@corp.com.co,+57 300 000 0033,10/6/1993,Bogotá,5574081,Pensionado,3,Regular,2564077,2525919,594
CLT-20251210-0035,1000000034,Paula Cárdenas Vega,paula.cárdenas035@servicios.com.co,+57 300 000 0034,11/7/1994,Medellín,5697538,Pensionado,1,Regular,2848769,2602462,646
CLT-20251210-0036,1000000035,Angela Patricia Herrera Ospina,angela.herrera036@banco.com.co,+57 300 000 0035,12/8/1995,Cartagena,5820995,Empleado,4,Bueno,2211978,2679005,745
CLT-20251210-0037,1000000036,Luisa Díaz Cruz,luisa.díaz037@financiera.com.co,+57 300 000 0036,1/9/1996,Bogotá,5944452,Empleado,2,Excelente,356667,2755548,756
CLT-20251210-0038,1000000037,Sofía Vega González,sofía.vega038@grupoempresa.com,+57 300 000 0037,2/10/1997,Bogotá,6067909,Empleado,5,Bueno,1820373,2832091,661
CLT-20251210-0039,1000000038,Valentina Ospina Rodríguez,valentina.ospina039@corp.com.co,+57 300 000 0038,3/11/1998,Bogotá,6191366,Empleado,8,Bueno,1919323,2908634,664
CLT-20251210-0040,1000000039,Daniela Cruz Martínez,daniela.cruz040@servicios.com.co,+57 300 000 0039,4/12/1999,Cali,6314823,Empleado,4,Malo,4420376,2985177,397
CLT-20251210-0041,1000000040,Juan Fernando González Gómez,juan.gonzález041@banco.com.co,+57 300 000 0040,5/13/2000,Bogotá,6438280,Empleado,7,Regular,2961609,3061720,631
CLT-20251210-0042,1000000041,Carlos Rodríguez López,carlos.rodríguez042@financiera.com.co,+57 300 000 0041,6/14/1960,Bogotá,6561737,Empleado,7,Regular,3149634,3138263,608
CLT-20251210-0043,1000000042,Andrés Martínez Pérez,andrés.martínez043@grupoempresa.com,+57 300 000 0042,7/15/1961,Bogotá,6685194,Empleado,7,Bueno,1403891,3214806,749
CLT-20251210-0044,1000000043,Diego Gómez Sánchez,diego.gómez044@corp.com.co,+57 300 000 0043,8/16/1962,Cartagena,6808651,Empleado,30,Excelente,817038,3291349,801
CLT-20251210-0045,1000000044,Santiago López Ramírez,santiago.lópez045@servicios.com.co,+57 300 000 0044,9/17/1963,Barranquilla,6932108,Empleado,3,Bueno,2148953,3367892,661
CLT-20251210-0046,1000000045,David Patricia Pérez Torres,david.pérez046@banco.com.co,+57 300 000 0045,10/18/1964,Medellín,7055565,Empleado,3,Excelente,1058335,3444435,780
CLT-20251210-0047,1000000046,Luis Sánchez Ruiz,luis.sánchez047@financiera.com.co,+57 300 000 0046,11/19/1965,Bogotá,7179022,Empleado,21,Regular,4235623,3520978,598
CLT-20251210-0048,1000000047,José Ramírez Castillo,josé.ramírez048@grupoempresa.com,+57 300 000 0047,12/20/1966,Medellín,7302479,Empleado,11,Bueno,2190744,3597521,677
CLT-20251210-0049,1000000048,Javier Torres Vargas,javier.torres049@corp.com.co,+57 300 000 0048,1/21/1967,Bogotá,7425936,Empleado,3,Regular,4381302,3674064,649
CLT-20251210-0050,1000000049,Alejandro Ruiz Rojas,alejandro.ruiz050@servicios.com.co,+57 300 000 0049,2/22/1968,Medellín,7549393,Pensionado,28,Regular,4001178,3750607,566
CLT-20251210-0051,1000000050,María Fernando Castillo Mendoza,maría.castillo051@banco.com.co,+57 300 000 0050,3/23/1969,Bogotá,7672850,Pensionado,4,Regular,3759696,3827150,609
CLT-20251210-0052,1000000051,Catalina Vargas Cárdenas,catalina.vargas052@financiera.com.co,+57 300 000 0051,4/24/1970,Medellín,7796307,Empleado,5,Bueno,2494818,3903693,674
CLT-20251210-0053,1000000052,Laura Rojas Herrera,laura.rojas053@grupoempresa.com,+57 300 000 0052,5/25/1971,Manizales,7919764,Empleado,23,Bueno,2375929,3980236,663
CLT-20251210-0054,1000000053,Andrea Mendoza Díaz,andrea.mendoza054@corp.com.co,+57 300 000 0053,6/26/1972,Bogotá,8043221,Pensionado,4,Bueno,2734695,4056779,680
CLT-20251210-0055,1000000054,Paula Cárdenas Vega,paula.cárdenas055@servicios.com.co,+57 300 000 0054,7/27/1973,Bogotá,8166678,Empleado,21,Excelente,1470002,4133322,759
CLT-20251210-0056,1000000055,Angela Patricia Herrera Ospina,angela.herrera056@banco.com.co,+57 300 000 0055,8/28/1974,Medellín,8290135,Empleado,22,Regular,3647659,4209865,578
CLT-20251210-0057,1000000056,Luisa Díaz Cruz,luisa.díaz057@financiera.com.co,+57 300 000 0056,9/1/1975,Neiva,8413592,Empleado,19,Bueno,2692349,4286408,740
CLT-20251210-0058,1000000057,Sofía Vega González,sofía.vega058@grupoempresa.com,+57 300 000 0057,10/2/1976,Medellín,8537049,Empleado,22,Bueno,3073338,4362951,664
CLT-20251210-0059,1000000058,Valentina Ospina Rodríguez,valentina.ospina059@corp.com.co,+57 300 000 0058,11/3/1977,Bogotá,8660506,Independiente,3,Malo,6408774,4439494,467
CLT-20251210-0060,1000000059,Daniela Cruz Martínez,daniela.cruz060@servicios.com.co,+57 300 000 0059,12/4/1978,Bogotá,8783963,Empleado,27,Regular,3864944,4516037,615
CLT-20251210-0061,1000000060,Juan Fernando González Gómez,juan.gonzález061@banco.com.co,+57 300 000 0060,1/5/1979,Bogotá,8907420,Independiente,26,Bueno,3028523,4592580,724
CLT-20251210-0062,1000000061,Carlos Rodríguez López,carlos.rodríguez062@financiera.com.co,+57 300 000 0061,2/6/1980,Cali,9030877,Empleado,16,Bueno,2889881,4669123,679
CLT-20251210-0063,1000000062,Andrés Martínez Pérez,andrés.martínez063@grupoempresa.com,+57 300 000 0062,3/7/1981,Bogotá,9154334,Empleado,21,Excelente,457717,4745666,776
CLT-20251210-0064,1000000063,Diego Gómez Sánchez,diego.gómez064@corp.com.co,+57 300 000 0063,4/8/1982,Medellín,9277791,Empleado,2,Regular,5195563,4822209,601
CLT-20251210-0065,1000000064,Santiago López Ramírez,santiago.lópez065@servicios.com.co,+57 300 000 0064,5/9/1983,Bogotá,9401248,Independiente,8,Excelente,282037,4898752,761
CLT-20251210-0066,1000000065,David Patricia Pérez Torres,david.pérez066@banco.com.co,+57 300 000 0065,6/10/1984,Bogotá,9524705,Empleado,16,Bueno,2666917,4975295,744
CLT-20251210-0067,1000000066,Luis Sánchez Ruiz,luis.sánchez067@financiera.com.co,+57 300 000 0066,7/11/1985,Bogotá,9648162,Empleado,3,Excelente,96482,5051838,783
CLT-20251210-0068,1000000067,José Ramírez Castillo,josé.ramírez068@grupoempresa.com,+57 300 000 0067,8/12/1986,Santa Marta,9771619,Empleado,0,Bueno,2931486,5128381,655
CLT-20251210-0069,1000000068,Javier Torres Vargas,javier.torres069@corp.com.co,+57 300 000 0068,9/13/1987,Cali,9895076,Independiente,2,Regular,5640193,5204924,571
CLT-20251210-0070,1000000069,Alejandro Ruiz Rojas,alejandro.ruiz070@servicios.com.co,+57 300 000 0069,10/14/1988,Medellín,10018533,Independiente,1,Regular,4007413,5281467,567
CLT-20251210-0071,1000000070,María Fernando Castillo Mendoza,maría.castillo071@banco.com.co,+57 300 000 0070,11/15/1989,Bogotá,10141990,Empleado,14,Regular,4462476,5358010,592
CLT-20251210-0072,1000000071,Catalina Vargas Cárdenas,catalina.vargas072@financiera.com.co,+57 300 000 0071,12/16/1990,Barranquilla,10265447,Empleado,12,Bueno,2155744,5434553,718
CLT-20251210-0073,1000000072,Laura Rojas Herrera,laura.rojas073@grupoempresa.com,+57 300 000 0072,1/17/1991,Bogotá,10388904,Empleado,7,Bueno,3740005,5511096,650
CLT-20251210-0074,1000000073,Andrea Mendoza Díaz,andrea.mendoza074@corp.com.co,+57 300 000 0073,2/18/1992,Cartagena,10512361,Independiente,11,Regular,5676675,5587639,599
CLT-20251210-0075,1000000074,Paula Cárdenas Vega,paula.cárdenas075@servicios.com.co,+57 300 000 0074,3/19/1993,Bogotá,10635818,Empleado,6,Bueno,2446238,5664182,726
CLT-20251210-0076,1000000075,Angela Patricia Herrera Ospina,angela.herrera076@banco.com.co,+57 300 000 0075,4/20/1994,Bogotá,10759275,Empleado,13,Bueno,2151855,5740725,718
CLT-20251210-0077,1000000076,Luisa Díaz Cruz,luisa.díaz077@financiera.com.co,+57 300 000 0076,5/21/1995,Medellín,10882732,Empleado,11,Bueno,3482474,5817268,681
CLT-20251210-0078,1000000077,Sofía Vega González,sofía.vega078@grupoempresa.com,+57 300 000 0077,6/22/1996,Bogotá,11006189,Empleado,11,Malo,7374147,5893811,340
CLT-20251210-0079,1000000078,Valentina Ospina Rodríguez,valentina.ospina079@corp.com.co,+57 300 000 0078,7/23/1997,Bogotá,11129646,Empleado,5,Regular,6232602,5970354,577
CLT-20251210-0080,1000000079,Daniela Cruz Martínez,daniela.cruz080@servicios.com.co,+57 300 000 0079,8/24/1998,Medellín,11253103,Empleado,6,Bueno,3938586,6046897,699
CLT-20251210-0081,1000000080,Juan Fernando González Gómez,juan.gonzález081@banco.com.co,+57 300 000 0080,9/25/1999,Bogotá,11376560,Empleado,4,Bueno,4209327,6123440,731
CLT-20251210-0082,1000000081,Carlos Rodríguez López,carlos.rodríguez082@financiera.com.co,+57 300 000 0081,10/26/2000,Medellín,11500017,Empleado,1,Regular,5635008,6199983,615
CLT-20251210-0083,1000000082,Andrés Martínez Pérez,andrés.martínez083@grupoempresa.com,+57 300 000 0082,11/27/1960,Bogotá,11623474,Empleado,18,Regular,6857850,6276526,620
CLT-20251210-0084,1000000083,Diego Gómez Sánchez,diego.gómez084@corp.com.co,+57 300 000 0083,12/28/1961,Cartagena,11746931,Independiente,13,Malo,8222852,6353069,522
CLT-20251210-0085,1000000084,Santiago López Ramírez,santiago.lópez085@servicios.com.co,+57 300 000 0084,1/1/1962,Barranquilla,11870388,Independiente,8,Regular,5697786,6429612,600
CLT-20251210-0086,1000000085,David Patricia Pérez Torres,david.pérez086@banco.com.co,+57 300 000 0085,2/2/1963,Barranquilla,11993845,Empleado,24,Bueno,3838030,6506155,657
CLT-20251210-0087,1000000086,Luis Sánchez Ruiz,luis.sánchez087@financiera.com.co,+57 300 000 0086,3/3/1964,Cali,12117302,Pensionado,28,Bueno,4725748,6582698,660
CLT-20251210-0088,1000000087,José Ramírez Castillo,josé.ramírez088@grupoempresa.com,+57 300 000 0087,4/4/1965,Bogotá,12240759,Empleado,16,Regular,7099640,6659241,593
CLT-20251210-0089,1000000088,Javier Torres Vargas,javier.torres089@corp.com.co,+57 300 000 0088,5/5/1966,Bogotá,12364216,Empleado,11,Bueno,3461980,6735784,712
CLT-20251210-0090,1000000089,Alejandro Ruiz Rojas,alejandro.ruiz090@servicios.com.co,+57 300 000 0089,6/6/1967,Bogotá,12487673,Empleado,10,Bueno,3746302,6812327,671
CLT-20251210-0091,1000000090,María Fernando Castillo Mendoza,maría.castillo091@banco.com.co,+57 300 000 0090,7/7/1968,Cali,12611130,Empleado,5,Excelente,504445,6888870,757
CLT-20251210-0092,1000000091,Catalina Vargas Cárdenas,catalina.vargas092@financiera.com.co,+57 300 000 0091,8/8/1969,Montería,12734587,Empleado,2,Regular,5348527,6965413,644
CLT-20251210-0093,1000000092,Laura Rojas Herrera,laura.rojas093@grupoempresa.com,+57 300 000 0092,9/9/1970,Barranquilla,12858044,Empleado,24,Bueno,3085931,7041956,659
CLT-20251210-0094,1000000093,Andrea Mendoza Díaz,andrea.mendoza094@corp.com.co,+57 300 000 0093,10/10/1971,Medellín,12981501,Empleado,2,Bueno,3375190,7118499,685
CLT-20251210-0095,1000000094,Paula Cárdenas Vega,paula.cárdenas095@servicios.com.co,+57 300 000 0094,11/11/1972,Barranquilla,13104958,Independiente,24,Excelente,2096793,7195042,843
CLT-20251210-0096,1000000095,Angela Patricia Herrera Ospina,angela.herrera096@banco.com.co,+57 300 000 0095,12/12/1973,Bogotá,13228415,Independiente,22,Regular,7407912,7271585,620
CLT-20251210-0097,1000000096,Luisa Díaz Cruz,luisa.díaz097@financiera.com.co,+57 300 000 0096,1/13/1974,Bogotá,13351872,Empleado,22,Regular,6675936,7348128,613
CLT-20251210-0098,1000000097,Sofía Vega González,sofía.vega098@grupoempresa.com,+57 300 000 0097,2/14/1975,Bogotá,13475329,Empleado,10,Bueno,4446859,7424671,692
CLT-20251210-0099,1000000098,Valentina Ospina Rodríguez,valentina.ospina099@corp.com.co,+57 300 000 0098,3/15/1976,Neiva,13598786,Empleado,4,Bueno,2719757,7501214,656
CLT-20251210-0100,1000000099,Daniela Cruz Martínez,daniela.cruz100@servicios.com.co,+57 300 000 0099,4/16/1977,Cali,13722243,Empleado,30,Regular,7135566,7577757,635
CLT-20251210-0101,1000000100,Juan Fernando González Gómez,juan.gonzález101@banco.com.co,+57 300 000 0100,5/17/1978,Bogotá,13845700,Empleado,19,Excelente,276914,7654300,826
CLT-20251210-0102,1000000101,Carlos Rodríguez López,carlos.rodríguez102@financiera.com.co,+57 300 000 0101,6/18/1979,Medellín,13969157,Independiente,12,Regular,6705195,7730843,583
CLT-20251210-0103,1000000102,Andrés Martínez Pérez,andrés.martínez103@grupoempresa.com,+57 300 000 0102,7/19/1980,Bogotá,14092614,Pensionado,25,Excelente,1832040,7807386,815
CLT-20251210-0104,1000000103,Diego Gómez Sánchez,diego.gómez104@corp.com.co,+57 300 000 0103,8/20/1981,Manizales,14216071,Independiente,2,Bueno,5259946,7883929,715
CLT-20251210-0105,1000000104,Santiago López Ramírez,santiago.lópez105@servicios.com.co,+57 300 000 0104,9/21/1982,Medellín,14339528,Empleado,11,Excelente,1003767,7960472,777
CLT-20251210-0106,1000000105,David Patricia Pérez Torres,david.pérez106@banco.com.co,+57 300 000 0105,10/22/1983,Bogotá,14462985,Pensionado,18,Malo,11281128,8037015,481
CLT-20251210-0107,1000000106,Luis Sánchez Ruiz,luis.sánchez107@financiera.com.co,+57 300 000 0106,11/23/1984,Medellín,14586442,Empleado,10,Bueno,2917288,8113558,663
CLT-20251210-0108,1000000107,José Ramírez Castillo,josé.ramírez108@grupoempresa.com,+57 300 000 0107,12/24/1985,Barranquilla,14709899,Empleado,7,Bueno,5295564,8190101,721
CLT-20251210-0109,1000000108,Javier Torres Vargas,javier.torres109@corp.com.co,+57 300 000 0108,1/25/1986,Barranquilla,14833356,Independiente,20,Bueno,4598340,8266644,723
CLT-20251210-0110,1000000109,Alejandro Ruiz Rojas,alejandro.ruiz110@servicios.com.co,+57 300 000 0109,2/26/1987,Medellín,14956813,Independiente,19,Malo,11965450,8343187,376
CLT-20251210-0111,1000000110,María Fernando Castillo Mendoza,maría.castillo111@banco.com.co,+57 300 000 0110,3/27/1988,Bogotá,15080270,Pensionado,6,Bueno,4674884,8419730,670
CLT-20251210-0112,1000000111,Catalina Vargas Cárdenas,catalina.vargas112@financiera.com.co,+57 300 000 0111,4/28/1989,Bogotá,15203727,Empleado,18,Regular,8666124,8496273,558
CLT-20251210-0113,1000000112,Laura Rojas Herrera,laura.rojas113@grupoempresa.com,+57 300 000 0112,5/1/1990,Medellín,15327184,Empleado,9,Bueno,4904699,8572816,719
CLT-20251210-0114,1000000113,Andrea Mendoza Díaz,andrea.mendoza114@corp.com.co,+57 300 000 0113,6/2/1991,Bogotá,15450641,Independiente,1,Bueno,5562231,8649359,659
CLT-20251210-0115,1000000114,Paula Cárdenas Vega,paula.cárdenas115@servicios.com.co,+57 300 000 0114,7/3/1992,Bogotá,15574098,Empleado,13,Bueno,5606675,8725902,659
CLT-20251210-0116,1000000115,Angela Patricia Herrera Ospina,angela.herrera116@banco.com.co,+57 300 000 0115,8/4/1993,Bogotá,15697555,Pensionado,1,Bueno,3296487,8802445,717
CLT-20251210-0117,1000000116,Luisa Díaz Cruz,luisa.díaz117@financiera.com.co,+57 300 000 0116,9/5/1994,Medellín,15821012,Empleado,13,Bueno,5853774,8878988,746
CLT-20251210-0118,1000000117,Sofía Vega González,sofía.vega118@grupoempresa.com,+57 300 000 0117,10/6/1995,Cartagena,15944469,Pensionado,1,Excelente,159445,8955531,812
CLT-20251210-0119,1000000118,Valentina Ospina Rodríguez,valentina.ospina119@corp.com.co,+57 300 000 0118,11/7/1996,Cali,16067926,Empleado,9,Regular,8516001,9032074,599
CLT-20251210-0120,1000000119,Daniela Cruz Martínez,daniela.cruz120@servicios.com.co,+57 300 000 0119,12/8/1997,Medellín,16191383,Empleado,9,Bueno,6152726,9108617,705
CLT-20251210-0121,1000000120,Juan Fernando González Gómez,juan.gonzález121@banco.com.co,+57 300 000 0120,1/9/1998,Medellín,16314840,Empleado,8,Bueno,3262968,9185160,670
CLT-20251210-0122,1000000121,Carlos Rodríguez López,carlos.rodríguez122@financiera.com.co,+57 300 000 0121,2/10/1999,Bogotá,16438297,Empleado,7,Regular,6904085,9261703,609
CLT-20251210-0123,1000000122,Andrés Martínez Pérez,andrés.martínez123@grupoempresa.com,+57 300 000 0122,3/11/2000,Medellín,16561754,Empleado,3,Regular,9605817,9338246,612
CLT-20251210-0124,1000000123,Diego Gómez Sánchez,diego.gómez124@corp.com.co,+57 300 000 0123,4/12/1960,Barranquilla,16685211,Pensionado,29,Bueno,5005563,9414789,748
CLT-20251210-0125,1000000124,Santiago López Ramírez,santiago.lópez125@servicios.com.co,+57 300 000 0124,5/13/1961,Bogotá,16808668,Empleado,12,Bueno,5378774,9491332,650
CLT-20251210-0126,1000000125,David Patricia Pérez Torres,david.pérez126@banco.com.co,+57 300 000 0125,6/14/1962,Cali,16932125,Empleado,18,Bueno,4571674,9567875,731
CLT-20251210-0127,1000000126,Luis Sánchez Ruiz,luis.sánchez127@financiera.com.co,+57 300 000 0126,7/15/1963,Bogotá,17055582,Empleado,2,Bueno,5798898,9644418,745
CLT-20251210-0128,1000000127,José Ramírez Castillo,josé.ramírez128@grupoempresa.com,+57 300 000 0127,8/16/1964,Bogotá,17179039,Independiente,3,Bueno,3435808,9720961,663
CLT-20251210-0129,1000000128,Javier Torres Vargas,javier.torres129@corp.com.co,+57 300 000 0128,9/17/1965,Barranquilla,17302496,Empleado,4,Bueno,5363774,9797504,736
CLT-20251210-0130,1000000129,Alejandro Ruiz Rojas,alejandro.ruiz130@servicios.com.co,+57 300 000 0129,10/18/1966,Bogotá,17425953,Independiente,4,Regular,9758534,9874047,611
CLT-20251210-0131,1000000130,María Fernando Castillo Mendoza,maría.castillo131@banco.com.co,+57 300 000 0130,11/19/1967,Cali,17549410,Empleado,10,Bueno,5966799,9950590,685
CLT-20251210-0132,1000000131,Catalina Vargas Cárdenas,catalina.vargas132@financiera.com.co,+57 300 000 0131,12/20/1968,Cali,17672867,Empleado,13,Regular,9189891,10027133,572
CLT-20251210-0133,1000000132,Laura Rojas Herrera,laura.rojas133@grupoempresa.com,+57 300 000 0132,1/21/1969,Bogotá,17796324,Empleado,0,Excelente,1423706,10103676,806
CLT-20251210-0134,1000000133,Andrea Mendoza Díaz,andrea.mendoza134@corp.com.co,+57 300 000 0133,2/22/1970,Neiva,17919781,Empleado,28,Excelente,1433582,10180219,787
CLT-20251210-0135,1000000134,Paula Cárdenas Vega,paula.cárdenas135@servicios.com.co,+57 300 000 0134,3/23/1971,Barranquilla,18043238,Empleado,30,Regular,8119457,10256762,590
CLT-20251210-0136,1000000135,Angela Patricia Herrera Ospina,angela.herrera136@banco.com.co,+57 300 000 0135,4/24/1972,Bogotá,18166695,Empleado,5,Regular,10718350,10333305,609
CLT-20251210-0137,1000000136,Luisa Díaz Cruz,luisa.díaz137@financiera.com.co,+57 300 000 0136,5/25/1973,Cali,18290152,Independiente,24,Excelente,3292227,10409848,823
CLT-20251210-0138,1000000137,Sofía Vega González,sofía.vega138@grupoempresa.com,+57 300 000 0137,6/26/1974,Bogotá,18413609,Pensionado,30,Bueno,4971674,10486391,743
CLT-20251210-0139,1000000138,Valentina Ospina Rodríguez,valentina.ospina139@corp.com.co,+57 300 000 0138,7/27/1975,Bogotá,18537066,Empleado,19,Excelente,3151301,10562934,766
CLT-20251210-0140,1000000139,Daniela Cruz Martínez,daniela.cruz140@servicios.com.co,+57 300 000 0139,8/28/1976,Medellín,18660523,Independiente,5,Excelente,1679447,10639477,774
CLT-20251210-0141,1000000140,Juan Fernando González Gómez,juan.gonzález141@banco.com.co,+57 300 000 0140,9/1/1977,Cali,18783980,Empleado,22,Regular,7513592,10716020,568
CLT-20251210-0142,1000000141,Carlos Rodríguez López,carlos.rodríguez142@financiera.com.co,+57 300 000 0141,10/2/1978,Medellín,18907437,Independiente,28,Bueno,6617603,10792563,718
CLT-20251210-0143,1000000142,Andrés Martínez Pérez,andrés.martínez143@grupoempresa.com,+57 300 000 0142,11/3/1979,Cali,19030894,Empleado,4,Regular,10276683,10869106,589
CLT-20251210-0144,1000000143,Diego Gómez Sánchez,diego.gómez144@corp.com.co,+57 300 000 0143,12/4/1980,Bucaramanga,19154351,Independiente,25,Excelente,191544,10945649,794
CLT-20251210-0145,1000000144,Santiago López Ramírez,santiago.lópez145@servicios.com.co,+57 300 000 0144,1/5/1981,Bogotá,19277808,Empleado,10,Regular,9253348,11022192,592
CLT-20251210-0146,1000000145,David Patricia Pérez Torres,david.pérez146@banco.com.co,+57 300 000 0145,2/6/1982,Cartagena,19401265,Pensionado,5,Regular,8148531,11098735,577
CLT-20251210-0147,1000000146,Luis Sánchez Ruiz,luis.sánchez147@financiera.com.co,+57 300 000 0146,3/7/1983,Cali,19524722,Empleado,11,Regular,10738597,11175278,563
